FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H01008,Crataegus scabrifolia,Yunnan Hawthorn,YUN NAN SHAN ZHA,云南山楂,NA,NA,fruit,See Crataegus cuneata.,See Crataegus cuneata.,NA,NA,NA,HERB006840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yunnan hawthorn is mainly used for medicinal purposes, including digestion and accumulation, promoting blood circulation and removing blood stasis, expelling insects and stopping dysentery, and relieving stagnation and pain."
H01009,Gmelina arborea,Malay Bushbeech,YUN NAN SHI ZI,云南石梓,NA,NA,NA,NA,NA,NA,NA,NA,HERB006844,NA,NPO201,201509,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Gmelina,NA
H01010,NA,Caulis et Folium Brassicae campestris,YUN TAI,芸薹,NA,NA,NA,NA,NA,NA,NA,NA,HERB006855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01011,Trifolium hybridum,Hybrid Clover,ZA JIAO CHE ZHOU CAO,杂交车轴草,NA,NA,NA,NA,NA,NA,NA,NA,HERB006862,NA,NPO11206,74517,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,NA
H01012,Crocus sativus,Saffron Crocus Stigma,ZANG HONG HUA,藏红花,NA,NA,stigma,"To quicken blood and transform stasis, dissipate depression and open binds.","Anxiety and depression, glomus and oppression in chest and diaphragm, blood ejection, cold damage mania, fright palpitation, amenorrhea, postpartum blood stasis abdominal pain, painful swelling from knocks and falls.",NA,NA,NA,HERB006875,NA,NPO9445,82528,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,NA
H01013,Ephedra saxatilis,Cliff Ephedra,ZANG MA HUANG,藏麻黄,NA,NA,herbaceous twigs,See Ephedra sinica.,See Ephedra sinica.,NA,NA,NA,HERB006877,NA,NPO22155,45091,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
H01015,Terra Flava Usta,Earth inside of Hearth,ZAO  XIN TU,灶心土,Minor Warm; Pungent,Spleen; Stomach,NA,1. To warm the middle-jiao to stop bleeding. 2. To warm the middle-jiao to stop vomiting. 3. Anti-diarrhea by astringing intestines.,"1. For hematemesis, hemafecia and metrorrhagia of asthenia-cold type. 2. For vomiting due to stomach-cold and morning sickness. 3. For chronic diarrhea due to asthenia of spleen.",NA,Bleeding control,止血,HERB006881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01016,Spi gleditsiae,spine of Chinese Honeylocust,ZAO JIAO CI,皂角刺,Warm; Pungent,Lung; Large Intestine,NA,"To cause subsidence of swelling, to draw out of pus, and to kill parasites.",1. To relieve carbuncle and drain pus. For the early stage of carbuncle or carbuncle with unruptured abscess. 2. To expel wind and kill parasites. For tinea infection and leprosy.,Toxic,Phlegresolving Medicine,化痰药,HERB006891,477,NA,54873,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,No Rank at Level Genus,NA
H01017,Herba Lycopi,Hirsute Shiny Bugleweed Herb,ZE LAN,泽兰,Bitter;  pungent; slightly warm,Liver; spleen,aerial parts,1. To invigorate blood and remove stagnation; 2. To promote urination and reduce edema,"Amenorrhea, concretion and conglomeration, postpartum blood stasis abdominal pain, edema in body and face, knocks and falls, incised wound.",NA,Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB006901,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01018,Rhizoma Alismatis,rhizome of Oriental Waterplantain,ZE XIE,泽泻,Cold; Sweet; Neutral,Bladder; Kidney,tuber,"To cause diuresis, and to remove damp-heat. To transform dampness and promote water metabolism.","Hyperlipemia, inhibited urination, heat strangury with inhibited pain, edema distention fullness, diarrhea, phlegm-rheum dizziness, emission.",NA,Diuretic Dampness Excreting Drugs,利水渗湿药,HERB006908,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01019,Pterospermum lanceaefolium,Lanceleaf Wingseedtree,ZHAI YE BAN FENG HE,窄叶半枫荷,NA,NA,leaf,To quicken blood and stanch bleeding.,Bleeding due to external injury.,NA,NA,NA,HERB006912,NA,NPO30244,1009501,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Pterospermum,NA
